A1,A2,C1,C2,bin
6.8818959e-07,8.582663510599999e-07,5.70203795378055e-07,1.2793914759500032e-06,train
7.558930432999999e-07,8.7115493047e-07,1.3620054573282626e-06,1.1882460955190736e-06,train
8.480953998999999e-07,9.3225004292e-07,2.4562031318506742e-06,2.2561979089089686e-06,train
7.757327221999999e-07,8.8211296218e-07,1.5798777041834488e-06,1.2841497998363515e-06,train
7.544133508999999e-07,9.0600680743e-07,8.289484614320352e-07,1.9779610267839665e-06,train
8.43342043e-07,9.300266154999999e-07,2.35627974312032e-06,2.1997801040973227e-06,train
8.017348690999999e-07,9.276105668099999e-07,1.2448587501538769e-06,2.4440993307797564e-06,train
8.207058792999999e-07,9.3905159929e-07,1.3372098649432498e-06,2.8748234800818005e-06,train
8.489083534999999e-07,9.1499105042e-07,2.9500322266434866e-06,1.5562013319808645e-06,train
8.696223312e-07,9.440724538699999e-07,2.911000386923389e-06,2.6790810008734502e-06,train
8.479778732e-07,9.1466392401e-07,2.922813517228438e-06,1.5550786321318995e-06,train
7.905161728e-07,9.1548106269e-07,1.3077334353134622e-06,2.0557442311593266e-06,train
7.813492726e-07,8.867500767099999e-07,1.6261099659619506e-06,1.346463285843328e-06,train
6.25359517e-07,8.484669981e-07,1.7766818939953465e-08,1.353074364166039e-06,train
7.460310751e-07,9.055733200699999e-07,7.018867765826299e-07,2.0106590745112276e-06,train
7.053331699999999e-07,8.328673281999999e-07,9.914792012751307e-07,8.532263566695158e-07,train
8.610013775999999e-07,9.384656754399999e-07,2.7508475544862527e-06,2.439291358331801e-06,train
7.778136287e-07,9.267620812799999e-07,7.575633996418779e-07,2.5717649317557377e-06,train
7.818378919999999e-07,9.1798549545e-07,1.070584196960579e-06,2.199604817603292e-06,train
7.679044233e-07,9.2058588566e-07,7.400355026451485e-07,2.382456053884268e-06,train
8.676167658e-07,9.4050872756e-07,2.968352827846814e-06,2.4777805194981832e-06,train
8.387917416999999e-07,9.336303587099999e-07,2.0852218735872784e-06,2.4171468040233977e-06,train
7.571512155999999e-07,8.9753515104e-07,1.024967260161291e-06,1.7354957177434787e-06,train
7.791236744e-07,9.2339447204e-07,8.787165529252966e-07,2.4221946847675487e-06,train
8.645757726e-07,9.435333541199999e-07,2.6989748621951864e-06,2.7073202826229055e-06,train
8.213751294999999e-07,9.3414613366e-07,1.537889482731988e-06,2.5996809839728483e-06,train
7.837912705e-07,9.198279976599999e-07,1.0648946157631197e-06,2.254099994974834e-06,train
8.187986827e-07,8.999142912399999e-07,2.288008854930571e-06,1.3915234674768194e-06,train
8.381251479999999e-07,9.2093001515e-07,2.432022436178134e-06,1.8738284711129838e-06,train
6.43915767e-07,8.4738610395e-07,2.039030116575462e-07,1.27569847795375e-06,train
6.967042199999999e-07,8.6995247907e-07,5.473123976957197e-07,1.4408371167944602e-06,train
8.3685937e-07,9.093489784e-07,2.6498353490521436e-06,1.4972144641814272e-06,train
8.111988196999999e-07,9.346939614299999e-07,1.2472532971566583e-06,2.7111938463262706e-06,train
8.179928958999999e-07,8.6935456726e-07,2.6926681150102086e-06,7.439191453823402e-07,train
7.790653783999999e-07,9.232070585999999e-07,8.82647804675322e-07,2.4150398514363117e-06,train
8.448668129e-07,9.074198574199999e-07,2.960826527507257e-06,1.3612271559622082e-06,train
7.572256449e-07,9.2252309928e-07,4.997858355575214e-07,2.522048865099525e-06,train
7.867387470999999e-07,9.1624015997e-07,1.2112057444207213e-06,2.106629034622083e-06,train
7.754449131999999e-07,9.3462046829e-07,4.5303912531446065e-07,2.9668121531084647e-06,train
7.672276564e-07,9.043836061099999e-07,1.080037144721007e-06,1.8598213932586747e-06,train
8.146155592999999e-07,9.3618664555e-07,1.2819393308085924e-06,2.763411624673006e-06,train
