A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,bin
6.769624517339999e-07,8.63539342346e-07,7.296876614439992e-08,7.481645653679992e-08,4.986016172734989e-08,1.8031401672332994e-08,1.7492099780087775e-08,4.652045624293009e-08,1.756937696209997e-08,3.13402873799101e-08,3.853701275543321e-07,1.409747268965218e-06,train
7.818649388818e-07,8.985469411441999e-07,7.295651690679991e-08,7.45729041946998e-08,4.9861705787039975e-08,1.8028710975953945e-08,1.791560366933711e-08,4.65335749831499e-08,1.7567895377900102e-08,3.134325071565983e-08,1.4472785927877436e-06,1.6205110874557034e-06,train
8.686989804230999e-07,9.435532999095999e-07,7.295693487859989e-08,7.442568484599996e-08,4.986930269023981e-08,1.8027754395395154e-08,1.8265982486446946e-08,4.655342268006997e-08,1.7568442321899973e-08,3.136927778760985e-08,2.868919225707e-06,2.661794584913233e-06,train
6.30839321485e-07,7.59753724826e-07,7.300171891560002e-08,7.49562473588e-08,4.986526072819996e-08,1.8034215640262888e-08,1.7297941043532912e-08,4.652374359877992e-08,1.7571666646499988e-08,3.1346297007499776e-08,6.094517449078831e-07,3.621417582271166e-07,train
7.486396365598e-07,9.190638882229999e-07,7.29527823369998e-08,7.46435516383e-08,4.985992637774985e-08,1.802925924384789e-08,1.777845808866514e-08,4.652504013140995e-08,1.7568117757999954e-08,3.134600825633001e-08,4.386552503399378e-07,2.440565965990908e-06,train
8.485015984942999e-07,9.276213126839999e-07,7.295520558309993e-08,7.445439903130004e-08,4.9866379612939884e-08,1.8027764122314097e-08,1.818597919817411e-08,4.6547925456979986e-08,1.7567952863299845e-08,3.1357050148499993e-08,2.596061793602088e-06,2.044791292984377e-06,train
7.630767813322999e-07,8.014517768268e-07,7.298127518589994e-08,7.461472764070001e-08,4.986501453876989e-08,1.8030094917601784e-08,1.7837119551941847e-08,4.65382326667299e-08,1.7568993895699984e-08,3.134145083371e-08,2.0543267478439545e-06,1.964619268329003e-07,train
8.531590743456e-07,9.343368595191e-07,7.295496453099996e-08,7.444794414860001e-08,4.98669134085299e-08,1.8027683385611983e-08,1.8203457106897078e-08,4.654855287299995e-08,1.75680832173999e-08,3.136061620168987e-08,2.5604127197310692e-06,2.3107566174434713e-06,train
7.095355032149999e-07,8.577229470033e-07,7.29681163821001e-08,7.473302351599991e-08,4.986083601427003e-08,1.8030597702078933e-08,1.7623452154517865e-08,4.652522126554992e-08,1.7568954881100065e-08,3.133964267274982e-08,8.271669450463073e-07,1.1861148251989664e-06,train
8.089376720598999e-07,9.27493101966e-07,7.295182080369992e-08,7.452299617190001e-08,4.9862811959929976e-08,1.8028146409713974e-08,1.802147198240103e-08,4.653614510353986e-08,1.7567854551399935e-08,3.135150445355997e-08,1.409481179773717e-06,2.3887882995534737e-06,train
8.151905561048999e-07,9.333929033943999e-07,7.295129459920012e-08,7.451244247849994e-08,4.986322461624997e-08,1.8028071033579933e-08,1.8045342445883037e-08,4.653677015985987e-08,1.7567882376900026e-08,3.13543611826101e-08,1.3826353149295326e-06,2.616313976330904e-06,train
6.8350246228e-07,8.614040977404e-07,7.296876757340009e-08,7.479909033220006e-08,4.986027790041005e-08,1.8031211290776785e-08,1.751847057274602e-08,4.6521427574299995e-08,1.7569359478399942e-08,3.134008031033989e-08,4.803865867635981e-07,1.3494757588552397e-06,train
8.298060047361e-07,9.36223636857e-07,7.295204269230001e-08,7.448704918860005e-08,4.986442728305995e-08,1.8027911220392893e-08,1.81046721009768e-08,4.6540364172409945e-08,1.756798910849992e-08,3.135745825499003e-08,1.6943919131130861e-06,2.6398685407292515e-06,train
6.384270349750001e-07,7.52372859002e-07,7.300323039569996e-08,7.493373618529989e-08,4.986577298682004e-08,1.8034179799906233e-08,1.73280096698941e-08,4.652520507838999e-08,1.7571582443399817e-08,3.1346600413329924e-08,7.112349575231199e-07,2.741299964117919e-07,train
8.570545136844999e-07,9.329322599048e-07,7.29557843858e-08,7.44415560637e-08,4.986746132854e-08,1.8027690265202993e-08,1.82206375299361e-08,4.65503376445699e-08,1.7568072899399765e-08,3.136081533908982e-08,2.7631635141015835e-06,2.1970738800372697e-06,train
8.694401728121999e-07,9.458122551653e-07,7.295696172100019e-08,7.442518744959987e-08,4.986949340659987e-08,1.8027729212337797e-08,1.8267779796898133e-08,4.655327457862993e-08,1.7568523771099944e-08,3.137092170925997e-08,2.7998646853007854e-06,2.8072565348915715e-06,train
