A1,A2,A3,A4,C1,C2,bin
6.1195673200812e-07,7.15587449871298e-07,7.307873782699992e-08,9.019959561999997e-08,6.281302701902283e-07,7.293029925748041e-07,train
1.2721333047779985e-07,9.246697977600462e-07,7.307886774099997e-08,9.042520257699996e-08,1.1442234502768456e-07,1.0132037270859857e-06,train
1.4641538546849996e-07,7.31851541654319e-07,7.308093616999991e-08,9.041614896199992e-08,1.35714367070707e-07,7.471284739635309e-07,train
9.586598389829259e-07,5.97184835565988e-07,7.308122528099996e-08,9.004448634399988e-08,1.3596562487505495e-06,6.035224340055204e-07,train
9.33625332812305e-07,1.6849159197613988e-07,7.308850836499996e-08,9.005608504500004e-08,1.1704206086173126e-06,1.6457743010224014e-07,train
5.410872127919997e-08,5.608627092500149e-07,7.308562954900001e-08,9.046577253400001e-08,2.0818676022750172e-08,5.657863203715161e-07,train
4.702193529552999e-07,9.610832973969316e-07,7.3077839181e-08,9.026480353699996e-08,4.7556537256334436e-07,1.1463697601577941e-06,train
8.78225308391472e-07,9.76323767811269e-07,7.307849922800001e-08,9.007923124799996e-08,9.921977467449514e-07,1.2907476241896729e-06,train
5.645303694375599e-07,4.729121038363669e-07,7.30832917889999e-08,9.022211846099988e-08,5.762333071855318e-07,4.7527589316037127e-07,train
6.3716410101804e-07,4.18538658865804e-07,7.308398933799996e-08,9.018909984900003e-08,6.562375015964683e-07,4.197094346802112e-07,train
9.665539292645649e-07,7.362575051277531e-07,7.307923359599995e-08,9.00412053539999e-08,1.4704211525850382e-06,7.520007686513024e-07,train
9.141851867241149e-07,3.6093478034786e-07,7.308455429599997e-08,9.006380672099994e-08,1.0897038042108123e-06,3.610225741994566e-07,train
7.557128520641399e-07,7.56026156342509e-07,7.307750995099992e-08,9.013379867599994e-08,7.972505597307311e-07,7.740410887343638e-07,train
9.332168852703119e-07,9.3056815057366e-07,7.307588593799991e-08,9.005408169199995e-08,1.168333064511414e-06,1.0279051378192804e-06,train
7.243280564459994e-08,7.396258561657299e-07,7.308188989599996e-08,9.04540756939999e-08,4.808780309968963e-08,7.5572371764267e-07,train
9.680467965514799e-07,8.13641675238022e-07,7.307811346399988e-08,9.004055625799992e-08,1.4970855413128876e-06,8.411866909979571e-07,train
5.6308129659799856e-08,3.262953586023e-07,7.308996453499999e-08,9.046520685400002e-08,2.4389842779387217e-08,3.2577608156979e-07,train
7.8776186824145e-07,9.563352489873683e-07,7.307621726399995e-08,9.011936264499995e-08,8.399734947983621e-07,1.119861820329729e-06,train
8.510205400241859e-07,1.1829334970094995e-07,7.308922293699998e-08,9.009287903499993e-08,9.383786933968099e-07,1.1210657889916076e-07,train
1.0280412975769992e-07,4.315801172633889e-07,7.308689292099997e-08,9.043888267199997e-08,8.633942408549034e-08,4.330176973282465e-07,train
4.7875753409616e-07,9.83209964616722e-07,7.308206354600001e-08,9.026217539099995e-08,4.845754979836928e-07,1.432820837222627e-06,train
1.4068605679809987e-07,5.48031170901939e-07,7.308423322099997e-08,9.041954944799995e-08,1.2941770459955632e-07,5.525147043876617e-07,train
8.99048862315628e-07,5.87841640770235e-07,7.308029510399995e-08,9.006970458699997e-08,1.0432772664304784e-06,5.937897236830587e-07,train
4.8074989360887e-07,9.768720525142593e-07,7.307988203999993e-08,9.026063272999992e-08,4.866834374739263e-07,1.2990451147506928e-06,train
1.5104385874850001e-07,6.19312100785226e-07,7.308288615099988e-08,9.041421649999986e-08,1.4077408687376203e-07,6.266510646618553e-07,train
7.024124269021999e-07,5.147435039365029e-07,7.308192190999994e-08,9.015893080099998e-08,7.314911301842169e-07,5.182032540576674e-07,train
8.40239916232018e-07,1.2059066541886e-07,7.308914262399995e-08,9.009769303599995e-08,9.195907980395162e-07,1.1454531249948396e-07,train
9.64424794776943e-07,2.0535979923435987e-07,7.308887522600001e-08,9.0043764441e-08,1.4360655508697466e-06,2.0249461643885465e-07,train
8.36442855915e-08,9.419355019988535e-07,7.307972453900001e-08,9.044770132599994e-08,6.284723076311944e-08,1.0611704158148203e-06,train
3.8111851829057993e-07,4.36668152481988e-07,7.308483880900005e-08,9.030684865999989e-08,3.8222273947696645e-07,4.382130778528597e-07,train
4.408198185192099e-07,7.51177801478098e-07,7.3078876303e-08,9.02782177499999e-08,4.446376163153807e-07,7.685968652098929e-07,train
9.547001088837579e-07,5.728654263910008e-08,7.309177872799996e-08,9.004816151219996e-08,1.317625808215967e-06,4.3390330577759485e-08,train
6.9635664873411e-07,5.045734974429998e-08,7.309150057099991e-08,9.0163677807e-08,7.24312575479823e-07,3.4557732697894696e-08,train
8.78682262251803e-07,8.61736719319506e-07,7.307580597899993e-08,9.0077993442e-08,9.932196753354983e-07,9.035377535743277e-07,train
2.660742152663e-07,4.87457773525999e-07,7.308443446299992e-08,9.03601662309999e-08,2.625191908853934e-07,4.901812355483654e-07,train
1.6769798322129995e-07,8.753569759010606e-07,7.307869407800008e-08,9.040547510899998e-08,1.588044285540558e-07,9.232224873391159e-07,train
6.9995316366008e-07,9.820753023522955e-07,7.308060971400002e-08,9.016067127599992e-08,7.285615131098879e-07,1.4022910479537586e-06,train
8.75964706921186e-07,9.523060948798006e-07,7.307592916699998e-08,9.007947833299997e-08,9.872802336112802e-07,1.100758253938711e-06,train
3.0783692158564e-07,9.758725941890298e-07,7.308056416799998e-08,9.034048679400002e-08,3.0597585665982055e-07,1.2840394158562174e-06,train
3.746941842771e-07,9.76869693691897e-07,7.308039264899994e-08,9.030959550599999e-08,3.755217333069744e-07,1.2989922616431866e-06,train
9.61841949190003e-07,2.882839626153199e-07,7.308710484199999e-08,9.004434312800003e-08,1.3991931083224096e-06,2.8710103506711187e-07,train
9.52271434599511e-07,2.4711936327181e-07,7.308749333499998e-08,9.004817437799992e-08,1.2949652115974382e-06,2.451691996703079e-07,train
5.275797274959199e-07,8.229941272718749e-07,7.307738788499994e-08,9.023804831899997e-08,5.364705619035338e-07,8.526829914858571e-07,train
8.5363172845593e-07,6.88535477857956e-07,7.307844543899985e-08,9.008969165199988e-08,9.431061870412922e-07,7.000328966660321e-07,train
6.4456330449741e-07,9.450228671343221e-07,7.307633088299986e-08,9.018450575399994e-08,6.645701820704909e-07,1.0718141627268936e-06,train
8.59727103444929e-07,3.176545543569999e-08,7.309202048399997e-08,9.008982228060002e-08,9.544684029279602e-07,5.999242844597963e-09,train
1.2064746926059995e-07,7.04800538370376e-07,7.308166535499995e-08,9.042889765199992e-08,1.0701099366846279e-07,7.175763925584263e-07,train
9.64768484136875e-07,9.764622269068126e-07,7.307997487599997e-08,9.004263597499999e-08,1.4412620830296263e-06,1.2928608778501473e-06,train
1.262711555247e-07,9.083884448925492e-07,7.307885757300005e-08,9.042570029800002e-08,1.1336452884588955e-07,9.786143699235515e-07,train
2.3554047854539995e-07,9.472390287988585e-07,7.307838040800001e-08,9.037351811199987e-08,2.306198338748526e-07,1.079956309281362e-06,train
7.494901914633599e-07,5.913116943553439e-07,7.308042680999995e-08,9.013718969000003e-08,7.89285240346604e-07,5.97401337423345e-07,train
4.895818423599991e-08,7.00991051585217e-07,7.308335173499997e-08,9.046869420799991e-08,1.1965990467960763e-08,7.134538511706979e-07,train
9.47228156299454e-07,8.433157006044729e-07,7.307670309200003e-08,9.004822096899986e-08,1.2538568914548556e-06,8.786010455652007e-07,train
7.1973458339074e-07,6.24375242351384e-07,7.307995509099994e-08,9.015062821699994e-08,7.523135700834868e-07,6.319642214493705e-07,train
3.4055187019714e-07,6.220857479072659e-07,7.308159714299995e-08,9.032494702499994e-08,3.399978062614965e-07,6.29560161750277e-07,train
