A1,A2,A3,A4,C1,C2,bin
8.351252227e-07,9.41354034385e-07,2.909303563999999e-07,1.4041602572e-07,1.697787537532756e-06,2.8745534404402564e-06,train
7.788873293e-07,8.3397327198e-07,2.910689130999999e-07,1.4048427776999996e-07,2.1461283003327466e-06,4.802502687079806e-07,train
7.83914155e-07,9.0008600923e-07,2.910131000999999e-07,1.4047567634999998e-07,1.4919517780360354e-06,1.6355983859092943e-06,train
7.811594612e-07,9.092757349e-07,2.9101221579999996e-07,1.4048022999999993e-07,1.2675189528188313e-06,1.9092706406593706e-06,train
7.342200177999999e-07,8.926300815399999e-07,2.911031861999999e-07,1.4055185200999998e-07,7.626551397057963e-07,1.726629410869543e-06,train
7.906583626999999e-07,9.310261829639999e-07,2.9098875799999993e-07,1.4046997149999994e-07,9.107626177529954e-07,2.670448781540268e-06,train
7.948349759999999e-07,8.7773401051e-07,2.910115905e-07,1.4046003818999993e-07,2.0445738715646585e-06,1.0677269038462802e-06,train
8.731253868e-07,9.48757522755e-07,2.9090147719999994e-07,1.4037917366000003e-07,2.8840624073231597e-06,2.9615727955117344e-06,train
8.430259678999999e-07,9.1615507494e-07,2.9093003799999985e-07,1.4040170457999988e-07,2.735592312625754e-06,1.6465931625582555e-06,train
8.409993619999999e-07,9.344868182689999e-07,2.909253306999999e-07,1.4040729327999992e-07,2.1541868279941437e-06,2.429414617939983e-06,train
8.06973764e-07,9.25541698127e-07,2.909675193e-07,1.4044692732999995e-07,1.4509299789958192e-06,2.307467052388515e-06,train
7.904591762e-07,8.3857550872e-07,2.9104761610000006e-07,1.4046760851e-07,2.34856332113726e-06,4.6378583891918294e-07,train
8.099596256e-07,8.275171349999999e-07,2.9102951509999994e-07,1.4044225231e-07,2.9083233421811566e-06,1.587295895508164e-07,train
7.020110584e-07,9.0786304811e-07,2.911593611e-07,1.4060911418999997e-07,5.0803966985723315e-08,2.2884634402744587e-06,train
8.548804018e-07,9.300833636639999e-07,2.909143202999999e-07,1.4039109374e-07,2.8104183011165687e-06,2.071354597781983e-06,train
7.476374459999999e-07,9.297392382859999e-07,2.910599592e-07,1.4053402589999987e-07,1.4234720664781909e-07,2.8850151875019048e-06,train
8.637387537999999e-07,9.385392282599999e-07,2.9090632049999994e-07,1.4038424845e-07,2.895094307051444e-06,2.400160982656493e-06,train
8.157833186e-07,8.669827393299999e-07,2.909912192e-07,1.404326887099999e-07,2.6812102837266196e-06,7.117528064393971e-07,train
8.551379745999999e-07,9.456401125879999e-07,2.909121089999999e-07,1.4039552780999997e-07,2.225261207918107e-06,2.9527633559543906e-06,train
7.355423874e-07,8.0410213985e-07,2.911687628e-07,1.4055376411e-07,1.6130533248180074e-06,3.704345907800991e-07,train
7.414077040999999e-07,8.7632245149e-07,2.9110066529999994e-07,1.4053994865e-07,1.0907306491742716e-06,1.3493368333536007e-06,train
8.056871169e-07,9.322382049659999e-07,2.909671222999999e-07,1.4044998959999995e-07,1.2157565179352745e-06,2.6197116780602756e-06,train
8.161917784999999e-07,9.1322461447e-07,2.909609318999999e-07,1.404333334399999e-07,1.9859286793880083e-06,1.7868356395444817e-06,train
6.59039119e-07,7.4165679019e-07,2.913903476999999e-07,1.407036994099999e-07,9.787483425922472e-07,1.0361950249098374e-07,train
8.496034441e-07,9.45176536476e-07,2.9091663359999995e-07,1.4040118720999993e-07,2.031423976220761e-06,2.9812124616334355e-06,train
7.309392103999999e-07,7.886767889999999e-07,2.911907640999999e-07,1.405629662699999e-07,1.6366996562133252e-06,2.3001041350221785e-07,train
7.831185572e-07,8.7907000818e-07,2.9102806449999995e-07,1.4047639142999996e-07,1.7814270376128787e-06,1.1705564613663612e-06,train
7.397038439e-07,8.7880863844e-07,2.911020365e-07,1.4054269565999997e-07,1.0346491757697132e-06,1.405324073524488e-06,train
8.455641564e-07,9.38220573222e-07,2.9092042379999997e-07,1.4040321487999987e-07,2.1783238681379196e-06,2.58516038592433e-06,train
7.389587899999999e-07,8.953008238799999e-07,2.91092592e-07,1.405441440599999e-07,7.910505912699512e-07,1.766974788446916e-06,train
