A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,bin
8.39935563101368e-07,9.060427557740266e-07,7.307772160949998e-08,7.409592747139978e-08,4.984580390364996e-08,1.8025306344470064e-08,1.3999404144530027e-08,4.6493733823130025e-08,1.7556546656700168e-08,3.132061417312998e-08,9.191012865053455e-07,9.741804572122293e-07,train
8.708695723576329e-07,7.175053504589621e-07,7.308026861029993e-08,7.40982750319999e-08,4.984551355578021e-08,1.802514360901999e-08,1.3986718555621731e-08,4.649519869060994e-08,1.7556195760499924e-08,3.132838457074993e-08,9.76575417658207e-07,7.313977723047798e-07,train
8.32665627216996e-07,4.59069174354529e-07,7.308489794779995e-08,7.410568433949994e-08,4.9845424929809834e-08,1.8025207511889897e-08,1.400037018286622e-08,4.649462208069987e-08,1.7556320684399866e-08,3.131951465202995e-08,9.070480928974499e-07,4.6110822512752594e-07,train
7.163857402354629e-07,8.328998873745173e-07,7.307882208889995e-08,7.41037288117999e-08,4.984581770011011e-08,1.8025144063569846e-08,1.4046151689111076e-08,4.6489318111119925e-08,1.7557257866300097e-08,3.131170564548995e-08,7.4826445757279e-07,8.65142312160393e-07,train
7.367670752615809e-07,8.175548989370002e-08,7.309270088300006e-08,7.411933042539994e-08,4.984564594948012e-08,1.802547317271007e-08,1.4036740158519746e-08,4.649259480928993e-08,1.755692998910005e-08,3.131327688563002e-08,7.732824268534748e-07,7.230494895500201e-08,train
9.300609345198245e-07,5.503488595195659e-07,7.308357057999998e-08,7.409968694759988e-08,4.984549005539001e-08,1.8025323969959806e-08,1.396640319227096e-08,4.649826940806984e-08,1.7555876318099917e-08,3.136957925614986e-08,1.1531417610627757e-06,5.549118822229514e-07,train
4.606288908249099e-07,4.2158389454121693e-07,7.308704843060001e-08,7.41277555676e-08,4.984607943959994e-08,1.802538936137979e-08,1.4147303729233708e-08,4.648163958605997e-08,1.7558766986499864e-08,3.132179665318998e-08,4.654631376262085e-07,4.228157990120144e-07,train
1.7841985602005e-07,7.161088775479021e-07,7.308345853599992e-08,7.414950253399991e-08,4.984676771385995e-08,1.8025437684149704e-08,1.4264177625971941e-08,4.647093871526991e-08,1.7560976370499993e-08,3.134075928440991e-08,1.7029908033902553e-07,7.298691884670353e-07,train
5.831073252397479e-07,5.660766176530799e-07,7.308381259319986e-08,7.411693533879992e-08,4.984588202772988e-08,1.8025183785429783e-08,1.4098152270991748e-08,4.6485359389179916e-08,1.755804900880006e-08,3.1315196299789824e-08,5.964345757562765e-07,5.711879015137601e-07,train
9.499211542576188e-07,5.502340516601749e-07,7.308397457309982e-08,7.409942704940012e-08,4.984558796673005e-08,1.8025350000639857e-08,1.3961393910701897e-08,4.649935011554003e-08,1.7555872057900063e-08,3.1407654075570004e-08,1.275033795109386e-06,5.547932847740517e-07,train
7.396451669644659e-07,8.336543858073126e-07,7.307872242100003e-08,7.410247143860004e-08,4.9845843780049894e-08,1.8025155260589856e-08,1.403704620916898e-08,4.649015543863005e-08,1.7557101415899926e-08,3.131192658149985e-08,7.768740319307472e-07,8.661041684985327e-07,train
2.1107233569362003e-07,9.709948903139413e-07,7.308268949969986e-08,7.414017227729994e-08,4.9847578632839956e-08,1.8026403012320132e-08,1.4255473969084849e-08,4.647260869123993e-08,1.7561542190499922e-08,3.1339810887319965e-08,2.0491428852844685e-07,1.2247605840572896e-06,train
5.87674290351992e-07,7.784610574288388e-07,7.308016076349984e-08,7.411205106589995e-08,4.9845983870869804e-08,1.8025156313920007e-08,1.4096858013510002e-08,4.64848996682899e-08,1.7558116416199963e-08,3.131476183297992e-08,6.014237479280292e-07,7.995727769267504e-07,train
